,model,km_driven,seller_type,transmission,owner,engine,max_power,torque,seats,LPG,CNG,Petrol,Diesel
1563,2017 Jaguar XF 2.0 Diesel Portfolio,45000,Dealer,Automatic,First Owner,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0,False,False,False,True
1564,2017 Jeep Wrangler 2016-2019 3.6 4X4,17000,Individual,Automatic,First Owner,3604 CC,280 bhp,347Nm@ 4300rpm,5.0,False,False,True,False
1565,2018 Toyota Yaris V BSIV,4295,Trustmark Dealer,Manual,1,1496 CC,105.5 bhp,140Nm@ 4200rpm,5.0,False,False,True,False
1566,2018 Toyota Yaris V BSIV,5229,Trustmark Dealer,Manual,First Owner,1496 CC,105.5 bhp,140Nm@ 4200rpm,5.0,False,False,True,False
1567,2019 Hyundai Grand i10 Nios Sportz,4701,Trustmark Dealer,Manual,First Owner,1197 CC,81.86 bhp,113.75Nm@ 4000rpm,5.0,False,False,True,False
1568,2016 Maruti Baleno Alpha,6757,Trustmark Dealer,Manual,First Owner,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,False,False,True,False
1569,2016 Skoda Rapid 1.6 MPI AT Style Plus,28182,Trustmark Dealer,Automatic,First Owner,1598 CC,103.52 bhp,153Nm@ 3800rpm,5.0,False,False,True,False
1570,2019 Nissan Kicks XV BSIV,11533,Trustmark Dealer,Manual,1,1498 CC,104.55 bhp,142Nm@ 4000rpm,5.0,False,False,True,False
1571,2017 Honda City i VTEC V,11688,Trustmark Dealer,Manual,First Owner,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0,False,False,True,False
1572,2016 Toyota Camry 2.5 Hybrid,68089,Trustmark Dealer,Automatic,First Owner,2494 CC,157.7 bhp,213Nm@ 4500rpm,5.0,False,False,True,False
1573,2012 Toyota Corolla Altis 1.8 VL AT,57728,Trustmark Dealer,Automatic,First Owner,1794 CC,138.1 bhp,173Nm@ 4000rpm,5.0,False,False,True,False
1574,2018 Maruti Ciaz 1.3 Alpha,23712,Trustmark Dealer,Manual,First Owner,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
1575,2015 Ford Ecosport 1.5 Ti VCT AT Titanium,70670,Trustmark Dealer,Automatic,1,1499 CC,110 bhp,140Nm@ 4400rpm,5.0,False,False,True,False
1576,2014 Maruti Alto 800 LXI,43381,Dealer,Manual,Second Owner,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,False,False,True,False
1577,2014 Honda City i VTEC CVT VX,79011,Trustmark Dealer,Automatic,First Owner,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0,False,False,True,False
1578,2016 Honda Jazz VX,56494,Trustmark Dealer,Manual,First Owner,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0,False,False,True,False
1579,2014 Maruti SX4 VDI,50000,Individual,Manual,Second Owner,1248 CC,88.73 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
1580,2011 Maruti Wagon R VXI BS IV,40000,Individual,Manual,1,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
1581,2018 Hyundai Grand i10 1.2 Kappa Asta,10000,Individual,Manual,First Owner,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0,False,False,True,False
1582,2017 Mahindra Thar CRDe,35000,Individual,Manual,First Owner,2498 CC,105 bhp,247Nm@ 1800-2000rpm,6.0,False,False,False,True
1583,2015 Maruti Ritz VXi,58500,Individual,Manual,First Owner,1197 CC,85.80 bhp,114Nm@ 4000rpm,5.0,False,False,True,False
1584,2018 Maruti Baleno Delta 1.2,20000,Individual,Manual,First Owner,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,False,False,True,False
1585,2011 Nissan Micra XL,43500,Individual,Manual,2,1198 CC,75 bhp,104Nm@ 4000rpm,5.0,False,False,True,False
1586,2018 Tata Hexa XT,30000,Individual,Manual,First Owner,2179 CC,153.86 bhp,400Nm@ 1750-2500rpm,7.0,False,False,False,True
1587,2015 Ford EcoSport 1.5 TDCi Titanium BSIV,63000,Individual,Manual,First Owner,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0,False,False,False,True
1588,2016 Mahindra Bolero 2011-2019 ZLX BSIII,35000,Individual,Manual,First Owner,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,False,False,False,True
1589,2012 Tata Indigo eCS LS TDI BSIII,110000,Individual,Manual,Second Owner,1396 CC,69 bhp,135Nm@ 2500rpm,5.0,False,False,False,True
1590,2018 Tata Hexa XT,25000,Individual,Manual,1,2179 CC,153.86 bhp,400Nm@ 1750-2500rpm,7.0,False,False,False,True
1591,2017 Hyundai Xcent 1.2 VTVT S AT,30000,Individual,Automatic,First Owner,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0,False,False,True,False
1592,2012 Mahindra Bolero 2011-2019 SLX,50000,Individual,Manual,First Owner,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,False,False,False,True
1593,2018 Mahindra Marazzo M6 8Str,35000,Individual,Manual,First Owner,1497 CC,121 bhp,300Nm@ 1750-2500rpm,8.0,False,False,False,True
1594,2018 Renault KWID 1.0 RXT Optional,30000,Individual,Manual,First Owner,999 CC,67 bhp,91Nm@ 4250rpm,5.0,False,False,True,False
1595,2014 Honda City i VTEC VX,56000,Individual,Manual,1,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0,False,False,True,False
1596,2017 Maruti Wagon R VXI BS IV,12700,Individual,Manual,First Owner,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
1597,2018 Tata Nexon 1.5 Revotorq XM,35000,Individual,Manual,First Owner,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5.0,False,False,False,True
1598,2017 Hyundai Xcent 1.2 Kappa SX,30000,Individual,Manual,First Owner,1197 CC,82 bhp,114Nm@ 4000rpm,5.0,False,False,True,False
1599,2012 Mahindra Scorpio LX BSIV,120000,Individual,Manual,First Owner,2179 CC,120 bhp,290Nm@ 1800-2800rpm,9.0,False,False,False,True
1600,2017 Tata Safari Storme EX,100000,Individual,Manual,1,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7.0,False,False,False,True
1601,2017 Renault KWID RXT,34000,Individual,Manual,First Owner,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0,False,False,True,False
1602,2011 Mahindra Xylo D2,56000,Individual,Manual,First Owner,2489 CC,95 bhp,220Nm at 1400-2600 rpm,8.0,False,False,False,True
1603,2008 Hyundai i10 Era,90000,Individual,Manual,First Owner,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0,False,False,True,False
1604,2010 Hyundai Santro Xing GLS,65000,Individual,Manual,Second Owner,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0,False,False,True,False
1605,2011 Tata New Safari DICOR 2.2 EX 4x4,80000,Individual,Manual,1,2179 CC,138 bhp,320Nm@ 1700-2700rpm,7.0,False,False,False,True
1606,2012 Mahindra Scorpio VLX 2WD BSIV,90000,Individual,Manual,Third Owner,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,False,False,False,True
1607,2015 Maruti Alto K10 VXI,40000,Individual,Manual,First Owner,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
1608,2016 Hyundai Creta 1.6 CRDi SX,58000,Individual,Manual,First Owner,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0,False,False,False,True
1609,2018 Ford Freestyle Titanium Petrol BSIV,19100,Individual,Manual,First Owner,1194 CC,94.68 bhp,120Nm@ 4250rpm,5.0,False,False,True,False
1610,2018 Maruti Ertiga ZXI Plus Petrol,25000,Individual,Manual,1,1462 CC,103 bhp,138Nm@ 4400rpm,7.0,False,False,True,False
1611,2005 Maruti Alto LXi BSIII,49455,Individual,Manual,First Owner,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,False,False,True,False
1612,2016 Hyundai EON D Lite Plus Option,100000,Individual,Manual,First Owner,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,False,False,True,False
1613,2013 Tata Indica Vista Quadrajet LS,120000,Individual,Manual,First Owner,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5.0,False,False,False,True
1614,2010 Hyundai i20 Asta Optional With Sunroof 1.2,90000,Individual,Manual,Fourth & Above Owner,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5.0,False,False,True,False
1615,2013 Chevrolet Sail Hatchback LS ABS,46815,Individual,Manual,2,1248 CC,76.9 bhp,205Nm@ 1750rpm,5.0,False,False,False,True
1616,2013 Tata Indica Vista TDI LS,110000,Individual,Manual,First Owner,1405 CC,70 bhp,135.4Nm@ 2500rpm,5.0,False,False,False,True
1617,2015 Hyundai EON Era Plus,80000,Individual,Manual,First Owner,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,False,False,True,False
1618,2013 Maruti Ertiga ZDI,100000,Individual,Manual,Third Owner,1248 CC,88.8 bhp,200Nm@ 1750rpm,7.0,False,False,False,True
1619,2014 Maruti Wagon R VXI BS IV with ABS,80000,Individual,Manual,First Owner,998 CC,67.06 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
1620,2018 Hyundai Xcent 1.2 VTVT S,40000,Individual,Manual,1,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0,False,False,True,False
1621,2015 Maruti Celerio VXI,70000,Individual,Manual,Third Owner,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
1622,2011 Tata Indica Vista Aqua 1.4 TDI,80000,Individual,Manual,First Owner,1405 CC,71 bhp,135 Nm at 2500  rpm ,5.0,False,False,False,True
1623,2014 Maruti Alto 800 LXI,40000,Individual,Manual,First Owner,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,False,False,True,False
1624,2011 Tata Indica Vista Aqua 1.4 TDI,80000,Individual,Manual,First Owner,1405 CC,71 bhp,135 Nm at 2500  rpm ,5.0,False,False,False,True
1625,2011 Nissan Micra XV,60000,Individual,Manual,2,1198 CC,75 bhp,104Nm@ 4000rpm,5.0,False,False,True,False
1626,2017 Hyundai i20 1.2 Spotz,50000,Individual,Manual,First Owner,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,False,False,True,False
1627,2016 Hyundai i20 Sportz 1.4 CRDi,30000,Individual,Manual,First Owner,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,False,False,False,True
1628,2017 Hyundai Grand i10 Magna,25000,Individual,Manual,First Owner,1197 CC,82 bhp,114Nm@ 4000rpm,5.0,False,False,True,False
1629,2010 Toyota Innova 2.5 V Diesel 7-seater,334000,Individual,Manual,First Owner,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7.0,False,False,False,True
1630,2016 Mahindra NuvoSport N8,100000,Individual,Manual,1,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,False,False,False,True
1631,2014 Renault Duster Adventure Edition,175000,Individual,Manual,First Owner,1461 CC,108.45 bhp,248Nm@ 2250rpm,5.0,False,False,False,True
1632,2011 Maruti SX4 ZXI AT,65000,Individual,Automatic,Third Owner,1586 CC,103.3 bhp,145Nm@ 4100rpm,5.0,False,False,True,False
1633,2011 Maruti SX4 ZXI AT,65000,Individual,Automatic,Third Owner,1586 CC,103.3 bhp,145Nm@ 4100rpm,5.0,False,False,True,False
1634,2009 Hyundai Santro Xing GLS,90000,Individual,Manual,First Owner,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0,False,False,True,False
1635,2011 Ford Figo Diesel Titanium,80000,Individual,Manual,2,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,False,False,False,True
1636,2018 Mahindra Scorpio S11 BSIV,110000,Individual,Manual,First Owner,2179 CC,140 bhp,320Nm@ 1500-2800rpm,7.0,False,False,False,True
1637,2012 Toyota Etios Liva GD,80000,Individual,Manual,Second Owner,,,,,False,False,False,True
1638,2008 Honda Civic Hybrid,60000,Individual,Automatic,Third Owner,1339 CC,108.5 bhp,123Nm@ 1000-2500rpm,5.0,False,False,True,False
1639,2014 Mahindra Xylo D4,160000,Individual,Manual,First Owner,2489 CC,93.7 bhp,218Nm@ 1400-2600rpm,7.0,False,False,False,True
1640,2010 Mahindra Scorpio VLX 4WD AIRBAG AT BSIV,100875,Individual,Automatic,1,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,False,False,False,True
1641,2018 Maruti Baleno Delta 1.2,20000,Individual,Manual,First Owner,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,False,False,True,False
1642,2016 Maruti Swift Dzire VXI,30000,Individual,Manual,First Owner,1197 CC,83.14 bhp,115Nm@ 4000rpm,5.0,False,False,True,False
1643,2013 Hyundai Grand i10 CRDi Asta Option,118000,Individual,Manual,First Owner,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5.0,False,False,False,True
1644,2013 Hyundai Verna 1.6 SX,69000,Individual,Manual,Third Owner,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0,False,False,False,True
1645,2015 Maruti Swift Dzire LXI,25000,Individual,Manual,2,1197 CC,83.14 bhp,115Nm@ 4000rpm,5.0,False,False,True,False
1646,2015 Hyundai Xcent 1.2 Kappa AT S Option,100000,Individual,Automatic,First Owner,1197 CC,81.86 bhp,113.75Nm@ 4000rpm,5.0,False,False,True,False
1647,2015 Maruti Swift Dzire VDI,110000,Individual,Manual,First Owner,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
1648,2015 Nissan Terrano XL 85 PS,60000,Individual,Manual,Third Owner,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0,False,False,False,True
1649,2008 Hyundai Santro Xing GL,128000,Individual,Manual,First Owner,1086 CC,62 bhp,96.1Nm@ 3000rpm,5.0,False,False,True,False
1650,2017 Tata Tiago 1.05 Revotorq XE,120000,Individual,Manual,1,1047 CC,69 bhp,140Nm@ 1800-3000rpm,5.0,False,False,False,True
1651,2012 Toyota Etios Liva GD,80000,Individual,Manual,Second Owner,,,,,False,False,False,True
1652,2020 Hyundai Grand i10 Nios AMT Sportz,5000,Individual,Automatic,First Owner,1197 CC,81.86 bhp,113.75Nm@ 4000rpm,5.0,False,False,True,False
1653,2009 Hyundai i10 Sportz Option,90000,Individual,Manual,Second Owner,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0,False,False,True,False
1654,2017 Hyundai Creta 1.6 CRDi SX Option,90000,Individual,Manual,First Owner,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0,False,False,False,True
1655,2012 Honda Accord 2.4 M/T,144030,Individual,Manual,1,2354 CC,177.6 bhp,222Nm@ 4300rpm,5.0,False,False,True,False
1656,2014 Honda City i DTEC VX,200000,Individual,Manual,First Owner,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
1657,2016 Hyundai i20 2015-2017 Asta Option 1.2,29000,Individual,Manual,First Owner,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,False,False,True,False
1658,2007 Maruti Wagon R LXI DUO BSIII,90000,Individual,Manual,Second Owner,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5.0,True,False,False,False
1659,2009 Mahindra Renault Logan 1.5 Diesel DLSX,176000,Individual,Manual,Second Owner,1461 CC,66 bhp,"16@ 2,000(kgm@ rpm)",5.0,False,False,False,True
1660,2013 Tata Indigo CS LX (TDI) BS III,150000,Individual,Manual,1,1396 CC,69 bhp,135Nm@ 2500rpm,5.0,False,False,False,True
1661,2016 Maruti Omni E MPI STD BS IV,90000,Individual,Manual,First Owner,796 CC,34.2 bhp,59Nm@ 2500rpm,8.0,False,False,True,False
1662,2014 Volkswagen Vento 1.6 Highline,70000,Individual,Manual,Second Owner,1598 CC,103.2 bhp,153Nm@ 3800rpm,5.0,False,False,True,False
1663,2007 Mahindra Renault Logan 1.5 DLX Diesel,99000,Individual,Manual,Second Owner,1461 CC,65 bhp,"16@ 2,000(kgm@ rpm)",5.0,False,False,False,True
1664,2018 Tata Tiago 1.2 Revotron XZ,5000,Individual,Manual,First Owner,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,False,False,True,False
1665,2008 Chevrolet Optra Magnum 2.0 LT,90000,Individual,Manual,4+,1991 CC,123.7 bhp,305Nm@ 2000rpm,5.0,False,False,False,True
1666,2011 Maruti Ritz VDi,89000,Individual,Manual,Second Owner,1248 CC,73.9 bhp,113Nm@ 4500rpm,5.0,False,False,False,True
1667,2006 Tata Indica V2 DLS TC,88000,Individual,Manual,Second Owner,1405 CC,62 bhp,"12.5@ 2,500(kgm@ rpm)",5.0,False,False,False,True
1668,2015 Maruti Swift Dzire VDI,30000,Individual,Manual,First Owner,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
1669,2016 Maruti Swift Dzire AMT ZDI,50000,Individual,Automatic,Second Owner,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
1670,2013 Maruti Swift Dzire VDI,80000,Individual,Manual,1,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
1671,2016 Hyundai i20 Asta Option 1.4 CRDi,40000,Individual,Manual,First Owner,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,False,False,False,True
1672,2015 Maruti Ertiga VDI,110000,Individual,Manual,Third Owner,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0,False,False,False,True
1673,2015 Hyundai Creta 1.6 CRDi SX Plus Dual Tone,48000,Individual,Manual,Second Owner,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0,False,False,False,True
1674,2016 Volkswagen Jetta 2.0L TDI Highline AT,97000,Individual,Automatic,First Owner,1968 CC,138.03 bhp,320Nm@ 1750-2500rpm,5.0,False,False,False,True
1675,2016 Volkswagen Vento 1.5 TDI Highline AT,60000,Individual,Automatic,1,1498 CC,108.6 bhp,250Nm@ 1500-3000rpm,5.0,False,False,False,True
1676,2011 Mercedes-Benz M-Class ML 350 4Matic,110000,Individual,Automatic,Third Owner,2987 CC,165 bhp,510@ 1600-2400,5.0,False,False,False,True
1677,2018 Toyota Yaris V CVT BSIV,12800,Individual,Automatic,First Owner,1496 CC,105.5 bhp,140Nm@ 4200rpm,5.0,False,False,True,False
1678,2012 Hyundai EON D Lite,40000,Individual,Manual,First Owner,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,False,False,True,False
1679,2017 Maruti Swift DDiS VDI,49000,Individual,Manual,First Owner,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
1680,2014 Maruti Ritz VXi,25000,Individual,Manual,1,1197 CC,85.80 bhp,114Nm@ 4000rpm,5.0,False,False,True,False
1681,2016 Maruti Alto 800 LXI,65000,Individual,Manual,Second Owner,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,False,False,True,False
1682,2015 Fiat Linea 1.3 Multijet Emotion,20000,Individual,Manual,First Owner,1248 CC,91.7 bhp,209Nm@ 2000rpm,5.0,False,False,False,True
1683,2018 Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,17000,Individual,Manual,First Owner,999 CC,75 bhp,95Nm@ 3000-4300rpm,5.0,False,False,True,False
1684,2015 Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,15000,Individual,Manual,First Owner,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
1685,2014 Toyota Etios GD,120000,Individual,Manual,2,1364 CC,67.04 bhp,170Nm@ 1800-2400rpm,5.0,False,False,False,True
1686,2010 Hyundai i20 Magna,49000,Individual,Manual,First Owner,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5.0,False,False,True,False
1687,2016 Hyundai i20 2015-2017 Magna 1.2,29000,Individual,Manual,First Owner,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,False,False,True,False
1688,2017 Nissan Terrano XV D Premium AMT,55000,Individual,Automatic,First Owner,1461 CC,108.5 bhp,248Nm@ 2250rpm,5.0,False,False,False,True
1689,2019 Mahindra Marazzo M8,5000,Individual,Manual,First Owner,1497 CC,121 bhp,300Nm@ 1750-2500rpm,7.0,False,False,False,True
1690,2017 Tata Nexon 1.5 Revotorq XZ Plus,35000,Individual,Manual,1,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5.0,False,False,False,True
1691,2018 Datsun GO T Option BSIV,5000,Individual,Manual,Second Owner,1198 CC,67 bhp,104Nm@ 4000rpm,5.0,False,False,True,False
1692,2017 Ford EcoSport 1.5 TDCi Platinum Edition BSIV,60000,Individual,Manual,First Owner,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0,False,False,False,True
1693,2017 Maruti Swift Dzire ZXI,70000,Individual,Manual,First Owner,1197 CC,83.14 bhp,115Nm@ 4000rpm,5.0,False,False,True,False
1694,2008 Hyundai Verna CRDi,120000,Individual,Manual,Second Owner,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5.0,False,False,False,True
1695,2016 Mahindra TUV 300 T8,65100,Individual,Manual,2,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,False,False,False,True
1696,2019 Maruti Ignis 1.2 AMT Delta BSIV,20000,Individual,Automatic,First Owner,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,False,False,True,False
1697,2015 Hyundai i20 Active 1.4 SX,108000,Individual,Manual,First Owner,1396 CC,88.73 bhp,220Nm@ 1500-2750rpm,5.0,False,False,False,True
1698,2019 Maruti Swift LXI,15000,Individual,Manual,First Owner,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,False,False,True,False
1699,2009 Hyundai Santro Xing GLS,77000,Individual,Manual,First Owner,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0,False,False,True,False
1700,2015 Maruti Wagon R VXI BS IV,18500,Individual,Manual,1,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
1701,2016 Mahindra TUV 300 T8,120000,Individual,Manual,First Owner,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,False,False,False,True
1702,2015 Renault KWID RXT,15200,Individual,Manual,First Owner,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0,False,False,True,False
1703,2015 Honda Mobilio V i VTEC,35000,Individual,Manual,First Owner,1497 CC,117.3 bhp,145Nm@ 4600rpm,7.0,False,False,True,False
1704,2011 Hyundai Verna 1.6 SX,80000,Individual,Manual,First Owner,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0,False,False,False,True
1705,2013 Hyundai EON Era Plus,70000,Individual,Manual,1,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,False,False,True,False
1706,2014 Mahindra XUV500 W6 2WD,80000,Individual,Manual,Second Owner,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,False,False,False,True
1707,2014 Nissan Terrano XV 110 PS,120000,Individual,Manual,Second Owner,1461 CC,108.5 bhp,248Nm@ 2250rpm,5.0,False,False,False,True
1708,2012 Chevrolet Cruze LTZ,82000,Individual,Manual,Third Owner,1998 CC,163.7 bhp,380Nm@ 2000rpm,5.0,False,False,False,True
1709,2017 Jaguar XE 2016-2019 2.0L Diesel Prestige,9000,Dealer,Automatic,First Owner,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0,False,False,False,True
1710,2019 Lexus ES 300h,20000,Dealer,Automatic,1,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5.0,False,False,True,False
1711,2017 Jaguar XF 2.0 Diesel Portfolio,45000,Dealer,Automatic,First Owner,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0,False,False,False,True
1712,2015 Tata Safari Storme EX,110000,Individual,Manual,First Owner,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7.0,False,False,False,True
1713,2019 Volvo XC40 D4 Inscription BSIV,20000,Individual,Automatic,First Owner,1969 CC,190 bhp,400Nm,5.0,False,False,False,True
1714,2016 Toyota Camry 2.5 Hybrid,68089,Trustmark Dealer,Automatic,First Owner,2494 CC,157.7 bhp,213Nm@ 4500rpm,5.0,False,False,True,False
1715,2013 Maruti Wagon R LXI,58343,Trustmark Dealer,Manual,1,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
1716,2018 Maruti Baleno Alpha 1.3,38817,Dealer,Manual,First Owner,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
1717,2016 Honda Jazz VX,56494,Trustmark Dealer,Manual,First Owner,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0,False,False,True,False
1718,2013 Toyota Innova 2.5 VX (Diesel) 7 Seater,79328,Trustmark Dealer,Manual,Second Owner,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0,False,False,False,True
1719,2019 Maruti Swift AMT VVT VXI,5621,Trustmark Dealer,Automatic,First Owner,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,False,False,True,False
1720,2017 Toyota Etios VX,25538,Trustmark Dealer,Manual,1,1496 CC,88.73 bhp,132Nm@ 3000rpm,5.0,False,False,True,False
1721,2018 Maruti Swift AMT ZXI,69779,Dealer,Automatic,First Owner,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,False,False,True,False
1722,2017 Hyundai Grand i10 1.2 CRDi Sportz,56290,Dealer,Manual,First Owner,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0,False,False,False,True
1723,2019 BMW X4 M Sport X xDrive20d,7500,Dealer,Automatic,First Owner,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0,False,False,False,True
1724,2019 BMW X4 M Sport X xDrive20d,8500,Dealer,Automatic,First Owner,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0,False,False,False,True
1725,2019 Honda Amaze V CVT Petrol BSIV,7032,Trustmark Dealer,Automatic,1,1199 CC,88.76 bhp,110Nm@ 4800rpm,5.0,False,False,True,False
1726,2016 Skoda Rapid 1.6 MPI AT Elegance,11000,Dealer,Automatic,First Owner,1598 CC,103.5 bhp,153Nm@ 3800rpm,5.0,False,False,True,False
1727,2018 Volvo V40 D3 R-Design,2000,Dealer,Automatic,First Owner,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5.0,False,False,False,True
1728,2010 Honda City 1.5 V AT,60000,Individual,Automatic,Second Owner,1497 CC,118 bhp,146Nm at 4800 rpm,5.0,False,False,True,False
1729,2017 Toyota Etios Liva 1.2 V Dual Tone,50000,Individual,Manual,First Owner,1197 CC,78.9 bhp,104Nm@ 3100rpm,5.0,False,False,True,False
1730,2011 Ford Figo Diesel EXI,70000,Individual,Manual,1,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,False,False,False,True
1731,2017 Honda Amaze E i-DTEC,70000,Individual,Manual,First Owner,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
1732,2011 Hyundai i20 1.4 CRDi Asta,90000,Individual,Manual,Third Owner,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0,False,False,False,True
1733,2016 Maruti Ertiga SHVS LDI Option,70000,Individual,Manual,Second Owner,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0,False,False,False,True
1734,2014 Maruti Alto 800 VXI,50000,Individual,Manual,First Owner,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,False,False,True,False
1735,2012 Maruti Omni 8 Seater BSII,120000,Individual,Manual,2,796 CC,35 bhp,6.1kgm@ 3000rpm,8.0,False,False,True,False
1736,2019 Hyundai i20 Active S Petrol,5000,Individual,Manual,First Owner,1197 CC,81.86 bhp,114.73Nm@ 4000rpm,5.0,False,False,True,False
1737,2018 Tata Hexa XE,25000,Individual,Manual,First Owner,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7.0,False,False,False,True
