,name,year,miles_driven,price_per_mile,mileage,selling_price,seller_type,owner,transmission,engine,torque,seats,fuel
4179,Mahindra XUV500 W11 Option BSIV,2018,37282,$40.23,35.52mpg,20550.15,Individual,First Owner,Manual,2179 CC,360Nm@ 1750-2800rpm,7.0,Diesel
3749,Mahindra Scorpio S11 BSIV,2018,24855,$60.35,38.48mpg,20550.15,Individual,First Owner,Manual,2179 CC,320Nm@ 1500-2800rpm,7.0,Diesel
5897,Mahindra XUV500 AT W9 2WD,2018,12427,$120.7,37.63mpg,20550.15,Individual,First Owner,Automatic,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
4511,Toyota Innova Crysta 2.4 GX MT 8S BSIV,2016,35356,$42.14,32.18mpg,20413.149,Individual,Second Owner,Manual,2393 CC,343Nm@ 1400-2800rpm,8.0,Diesel
3357,Mahindra XUV500 W9 BSIV,2018,14913,$98.91,35.52mpg,20207.6475,Dealer,First Owner,Manual,2179 CC,360Nm@ 1750-2800rpm,7.0,Diesel
3360,Toyota Innova Crysta 2.4 GX MT BSIV,2016,62137,$23.74,32.18mpg,20207.6475,Dealer,First Owner,Manual,2393 CC,343Nm@ 1400-2800rpm,7.0,Diesel
4704,Toyota Innova Crysta 2.8 GX AT BSIV,2017,38525,$38.03,26.72mpg,20070.6465,Dealer,First Owner,Automatic,2755 CC,360Nm@ 1200-3400rpm,7.0,Diesel
1636,Mahindra Scorpio S11 BSIV,2018,68351,$21.43,38.48mpg,20070.6465,Individual,First Owner,Manual,2179 CC,320Nm@ 1500-2800rpm,7.0,Diesel
3964,Mahindra Marazzo M8,2019,3107,$469.91,40.69mpg,20002.146,Individual,First Owner,Manual,1497 CC,300Nm@ 1750-2500rpm,7.0,Diesel
4195,Mahindra Marazzo M8,2019,3107,$469.91,40.69mpg,20002.146,Individual,First Owner,Manual,1497 CC,300Nm@ 1750-2500rpm,7.0,Diesel
1689,Mahindra Marazzo M8,2019,3107,$469.91,40.69mpg,20002.146,Individual,First Owner,Manual,1497 CC,300Nm@ 1750-2500rpm,7.0,Diesel
7174,Toyota Innova Crysta 2.4 ZX MT BSIV,2017,50331,$28.81,32.18mpg,19865.145,Individual,First Owner,Manual,2393 CC,343Nm@ 1400-2800rpm,7.0,Diesel
6282,Jeep Compass 1.4 Limited,2019,13670,$106.07,37.63mpg,19865.145,Dealer,First Owner,Automatic,1368 CC,250Nm@ 1750-2500rpm,5.0,Petrol
49,Mercedes-Benz B Class B180,2014,17274,$83.94,34.81mpg,19865.145,Dealer,Second Owner,Automatic,2143 CC,200Nm@ 1250-4000rpm,5.0,Diesel
7368,Mahindra Marazzo M8,2019,6214,$233.34,40.69mpg,19865.145,Individual,First Owner,Manual,1497 CC,300Nm@ 1750-2500rpm,7.0,Diesel
2832,Jeep Compass 1.4 Limited,2019,13670,$106.07,37.63mpg,19865.145,Dealer,First Owner,Automatic,1368 CC,250Nm@ 1750-2500rpm,5.0,Petrol
4090,Toyota Corolla Altis 1.8 VL AT,2017,4350,$333.33,34.18mpg,19865.145,Dealer,Second Owner,Automatic,1794 CC,173Nm@ 4000rpm,5.0,Petrol
1064,Toyota Corolla Altis 1.8 VL AT,2017,4350,$333.33,34.18mpg,19865.145,Dealer,Second Owner,Automatic,1794 CC,173Nm@ 4000rpm,5.0,Petrol
5430,Mahindra Marazzo M8,2019,6214,$233.34,40.69mpg,19865.145,Individual,First Owner,Manual,1497 CC,300Nm@ 1750-2500rpm,7.0,Diesel
7176,Tata Hexa XTA,2017,37282,$38.76,41.4mpg,19796.6445,Individual,First Owner,Automatic,2179 CC,400Nm@ 1750-2500rpm,7.0,Diesel
60,Mercedes-Benz New C-Class 220 CDI AT,2013,36661,$38.87,34.91mpg,19522.642499999998,Dealer,First Owner,Automatic,2143 CC,400Nm@ 1400-2800rpm,5.0,Diesel
7772,Hyundai Creta 1.6 SX Option Executive,2018,9321,$150.73,37.16mpg,19248.6405,Individual,First Owner,Manual,1591 CC,151Nm@ 4850rpm,5.0,Petrol
4136,Hyundai Creta 1.6 SX Option Executive,2018,9321,$150.73,37.16mpg,19248.6405,Individual,First Owner,Manual,1591 CC,151Nm@ 4850rpm,5.0,Petrol
6327,Mahindra XUV500 W10 1.99 mHawk,2018,18641,$75.1,37.63mpg,19180.14,Individual,First Owner,Manual,1997 CC,320Nm@ 1600-2800rpm,7.0,Diesel
1835,Mahindra XUV500 W10 1.99 mHawk,2018,18641,$75.1,37.63mpg,19180.14,Individual,First Owner,Manual,1997 CC,320Nm@ 1600-2800rpm,7.0,Diesel
7973,Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,2015,105633,$13.25,30.55mpg,19180.14,Individual,First Owner,Manual,2494 CC,200Nm@ 1400-3400rpm,7.0,Diesel
4089,Toyota Corolla Altis 1.8 G,2018,8410,$166.47,33.59mpg,19180.14,Dealer,First Owner,Manual,1798 CC,173Nm@ 4000rpm,5.0,Petrol
1255,Mercedes-Benz New C-Class 220 CDI AT,2012,31068,$45.06,34.91mpg,19180.14,Individual,First Owner,Automatic,2143 CC,400Nm@ 1400-2800rpm,5.0,Diesel
1063,Toyota Corolla Altis 1.8 G,2018,8410,$166.47,33.59mpg,19180.14,Dealer,First Owner,Manual,1798 CC,173Nm@ 4000rpm,5.0,Petrol
5283,Toyota Fortuner 4x2 AT TRD Sportivo,2014,49710,$28.16,29.52mpg,19180.14,Individual,Second Owner,Automatic,2982 CC,360Nm@ 1400-3200rpm,7.0,Diesel
7920,Tata Hexa XT,2017,43496,$32.19,41.4mpg,19180.14,Individual,First Owner,Manual,2179 CC,400Nm@ 1750-2500rpm,7.0,Diesel
7949,Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,2015,105633,$13.25,30.55mpg,19180.14,Individual,First Owner,Manual,2494 CC,200Nm@ 1400-3400rpm,7.0,Diesel
3111,Toyota Innova Crysta 2.8 GX AT BSIV,2017,60894,$22.83,26.72mpg,19043.139,Dealer,First Owner,Automatic,2755 CC,360Nm@ 1200-3400rpm,7.0,Diesel
4706,Toyota Innova Crysta 2.4 GX MT BSIV,2016,37282,$37.15,32.18mpg,18974.6385,Dealer,Second Owner,Manual,2393 CC,343Nm@ 1400-2800rpm,7.0,Diesel
7749,Toyota Fortuner 4x2 Manual,2014,93206,$14.81,30.58mpg,18906.138,Individual,First Owner,Manual,2982 CC,343Nm@ 1400-3400rpm,7.0,Diesel
7189,Hyundai Creta 1.6 SX Automatic,2018,34175,$40.38,34.81mpg,18906.138,Individual,First Owner,Automatic,1591 CC,151NM@ 4850rpm,5.0,Petrol
7840,Toyota Fortuner 4x2 Manual,2014,93206,$14.81,30.58mpg,18906.138,Individual,First Owner,Manual,2982 CC,343Nm@ 1400-3400rpm,7.0,Diesel
257,Tata Hexa XTA,2017,31068,$44.42,41.4mpg,18906.138,Individual,First Owner,Automatic,2179 CC,400Nm@ 1750-2500rpm,7.0,Diesel
1039,Toyota Fortuner 4x2 Manual,2014,93206,$14.81,30.58mpg,18906.138,Individual,First Owner,Manual,2982 CC,343Nm@ 1400-3400rpm,7.0,Diesel
4504,Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,50207,$27.19,30.55mpg,18700.6365,Individual,Second Owner,Manual,2494 CC,200Nm@ 1400-3400rpm,8.0,Diesel
1674,Volkswagen Jetta 2.0L TDI Highline AT,2016,60273,$22.4,39.89mpg,18495.135,Individual,First Owner,Automatic,1968 CC,320Nm@ 1750-2500rpm,5.0,Diesel
3066,Mahindra XUV500 W10 2WD,2016,43496,$31.04,37.63mpg,18495.135,Individual,First Owner,Manual,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
6103,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2011,50642,$26.66,34.91mpg,18495.135,Individual,Second Owner,Automatic,2143 CC,400Nm@ 1400-2800rpm,5.0,Diesel
7700,Honda CR-V 2.0L 2WD AT,2016,45981,$29.36,32.22mpg,18495.135,Dealer,First Owner,Automatic,1997 CC,190Nm@ 4300rpm,5.0,Petrol
6104,Mercedes-Benz New C-Class 250 CDI Classic,2011,49710,$27.16,37.16mpg,18495.135,Individual,First Owner,Automatic,2148 CC,"42@ 2,000(kgm@ rpm)",5.0,Diesel
4383,Volkswagen Vento 1.5 TDI Highline BSIV,2019,3355,$402.38,52.38mpg,18495.135,Dealer,Test Drive Car,Manual,1498 CC,250Nm@ 1500-3000rpm,5.0,Diesel
6248,Mahindra XUV500 W10 2WD,2017,12427,$108.63,37.63mpg,18495.135,Individual,First Owner,Manual,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
6903,Mahindra XUV500 W10 2WD,2016,15534,$86.91,37.63mpg,18495.135,Individual,First Owner,Manual,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
595,Toyota Innova 2.5 G (Diesel) 8 Seater,2015,58648,$23.02,30.55mpg,18495.135,Dealer,First Owner,Manual,2494 CC,200Nm@ 1200-3600rpm,8.0,Diesel
4525,Volkswagen Jetta 2.0L TDI Highline AT,2016,60273,$22.4,39.89mpg,18495.135,Individual,First Owner,Automatic,1968 CC,320Nm@ 1750-2500rpm,5.0,Diesel
3184,Mahindra XUV500 W9 2WD,2018,24855,$54.32,37.63mpg,18495.135,Individual,First Owner,Manual,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
4080,Mahindra XUV500 W10 2WD,2017,15534,$86.91,37.63mpg,18495.135,Individual,First Owner,Manual,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
6895,Mahindra XUV500 W9 2WD,2018,24855,$54.32,37.63mpg,18495.135,Individual,First Owner,Manual,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
2229,Hyundai Creta 1.6 SX Automatic,2018,3107,$434.5,34.81mpg,18495.135,Individual,First Owner,Automatic,1591 CC,151NM@ 4850rpm,5.0,Petrol
1007,Toyota Innova 2.5 Z Diesel 7 Seater BS IV,2015,71065,$18.64,30.55mpg,18152.6325,Dealer,Second Owner,Manual,2494 CC,200Nm@ 1200-3600rpm,7.0,Diesel
2795,Jeep Compass 2.0 Limited Option,2017,18641,$71.08,40.22mpg,18152.6325,Individual,First Owner,Manual,1956 CC,350Nm@ 1750-2500rpm,5.0,Diesel
2397,Mahindra Scorpio S7 120,2018,13703,$96.69,38.48mpg,18152.6325,Individual,First Owner,Manual,2179 CC,280Nm@ 1800-2800rpm,7.0,Diesel
1752,Mahindra XUV500 W10 2WD,2017,33554,$39.49,37.63mpg,18152.6325,Individual,First Owner,Manual,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
4127,Hyundai Creta 1.6 CRDi Anniversary Edition,2015,24855,$52.3,46.27mpg,17810.13,Individual,First Owner,Manual,1582 CC,259.9Nm@ 1900-2750rpm,5.0,Diesel
2534,Honda City VX CVT,2019,12427,$104.61,40.93mpg,17810.13,Individual,First Owner,Automatic,1497 CC,145Nm@ 4600rpm,5.0,Petrol
258,Mahindra Marazzo M6 8Str,2019,24855,$52.3,40.69mpg,17810.13,Individual,First Owner,Manual,1497 CC,300Nm@ 1750-2500rpm,8.0,Diesel
4524,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2015,29826,$43.59,46.27mpg,17810.13,Individual,Second Owner,Manual,1582 CC,259.9Nm@ 1900-2750rpm,5.0,Diesel
2062,BMW 3 Series 320d Luxury Line,2012,86992,$14.94,44.41mpg,17810.13,Individual,Second Owner,Automatic,1995 CC,380Nm@ 1750-2750rpm,5.0,Diesel
5153,Tata Hexa XTA,2017,24855,$52.3,41.4mpg,17810.13,Individual,First Owner,Automatic,2179 CC,400Nm@ 1750-2500rpm,7.0,Diesel
2069,BMW 3 Series 320d Luxury Line,2012,86992,$14.94,44.41mpg,17810.13,Individual,Second Owner,Automatic,1995 CC,380Nm@ 1750-2750rpm,5.0,Diesel
311,Honda City i-DTEC VX,2017,18641,$69.74,60.21mpg,17810.13,Individual,First Owner,Manual,1498 CC,200Nm@ 1750rpm,5.0,Diesel
1673,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2015,29826,$43.59,46.27mpg,17810.13,Individual,Second Owner,Manual,1582 CC,259.9Nm@ 1900-2750rpm,5.0,Diesel
2065,BMW 3 Series 320d Luxury Plus,2013,86992,$14.94,44.41mpg,17810.13,Individual,Second Owner,Automatic,1995 CC,380Nm@ 1750-2750rpm,5.0,Diesel
5720,Mahindra XUV500 AT W10 AWD,2016,24855,$52.3,37.63mpg,17810.13,Individual,First Owner,Automatic,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
891,Mahindra Scorpio 1.99 S10,2017,31068,$41.84,36.22mpg,17810.13,Individual,Second Owner,Manual,1997 CC,280Nm@ 1800-2800rpm,7.0,Diesel
5211,Mahindra Scorpio S7 120,2019,12427,$104.61,38.48mpg,17810.13,Individual,First Owner,Manual,2179 CC,280Nm@ 1800-2800rpm,7.0,Diesel
2072,BMW 3 Series 320d Luxury Plus,2013,86992,$14.94,44.41mpg,17810.13,Individual,Second Owner,Automatic,1995 CC,380Nm@ 1750-2750rpm,5.0,Diesel
6238,Toyota Innova 2.5 VX (Diesel) 7 Seater,2015,74564,$17.43,30.55mpg,17810.13,Individual,First Owner,Manual,2494 CC,200Nm@ 1400-3400rpm,7.0,Diesel
7381,Mahindra XUV500 AT W10 AWD,2016,56897,$22.85,37.63mpg,17810.13,Individual,Third Owner,Automatic,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
1411,Audi Q5 2.0 TDI,2011,74564,$17.43,30.11mpg,17810.13,Individual,First Owner,Automatic,1968 CC,350Nm@ 1750-2500rpm,5.0,Diesel
4776,Tata Hexa XM,2018,21748,$59.78,41.4mpg,17810.13,Individual,First Owner,Manual,2179 CC,400Nm@ 1750-2500rpm,7.0,Diesel
7335,Chevrolet Trailblazer LTZ 4X2 AT,2016,28583,$45.31,26.93mpg,17741.6295,Dealer,Second Owner,Automatic,2776 CC,500Nm@ 2000rpm,7.0,Diesel
3246,Tata Hexa XTA,2017,36039,$35.93,41.4mpg,17741.6295,Dealer,First Owner,Automatic,2179 CC,400Nm@ 1750-2500rpm,7.0,Diesel
7330,Volkswagen Vento 1.5 TDI Highline Plus AT BSIV,2018,18578,$69.44,52.1mpg,17673.129,Dealer,First Owner,Automatic,1498 CC,250Nm@ 1500-3000rpm,5.0,Diesel
404,Mahindra XUV500 AT W10 AWD,2016,31068,$41.52,37.63mpg,17673.129,Individual,First Owner,Automatic,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
7778,Tata Hexa XT,2017,27962,$45.85,41.4mpg,17563.5282,Individual,First Owner,Manual,2179 CC,400Nm@ 1750-2500rpm,7.0,Diesel
6525,Tata Hexa XT,2017,27962,$45.85,41.4mpg,17563.5282,Individual,First Owner,Manual,2179 CC,400Nm@ 1750-2500rpm,7.0,Diesel
4765,Ford Endeavour 3.0L 4X4 AT,2015,39768,$32.06,26.81mpg,17467.6275,Dealer,First Owner,Automatic,2953 CC,380Nm@ 2500rpm,7.0,Diesel
2578,Hyundai Verna VTVT 1.6 AT SX Option,2019,12427,$102.2,39.99mpg,17399.127,Individual,First Owner,Automatic,1591 CC,151Nm@ 4850rpm,5.0,Petrol
7163,Tata Hexa XM,2017,21748,$57.52,41.4mpg,17138.8251,Individual,First Owner,Manual,2179 CC,400Nm@ 1750-2500rpm,7.0,Diesel
6657,Toyota Innova 2.5 VX (Diesel) 8 Seater,2015,55923,$22.35,30.55mpg,17125.125,Individual,First Owner,Manual,2494 CC,200Nm@ 1400-3400rpm,8.0,Diesel
6149,Mahindra XUV500 W10 2WD,2017,37282,$33.53,37.63mpg,17125.125,Individual,First Owner,Manual,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
7746,Isuzu D-Max V-Cross 4X4,2017,35294,$35.42,29.17mpg,17125.125,Individual,First Owner,Manual,2499 CC,320Nm@ 1800-2800rpm,5.0,Diesel
7404,Mitsubishi Pajero Sport Anniversary Edition,2015,99419,$12.57,31.75mpg,17125.125,Individual,Second Owner,Manual,2477 CC,400Nm@ 2000-2500rpm,7.0,Diesel
2450,Tata Safari Storme VX Varicor 400,2019,62137,$20.12,33.17mpg,17125.125,Individual,First Owner,Manual,2179 CC,400Nm@ 1750-2500rpm,7.0,Diesel
2932,Mercedes-Benz B Class B180 Sports,2014,26098,$47.9,27.99mpg,17125.125,Individual,First Owner,Automatic,1595 CC,200Nm@ 1250-4000rpm,5.0,Petrol
1737,Tata Hexa XE,2018,15534,$80.47,41.4mpg,17125.125,Individual,First Owner,Manual,2179 CC,320Nm@ 1500-3000rpm,7.0,Diesel
1654,Hyundai Creta 1.6 CRDi SX Option,2017,55923,$22.35,46.27mpg,17125.125,Individual,First Owner,Manual,1582 CC,259.9Nm@ 1900-2750rpm,5.0,Diesel
312,Honda City i-DTEC VX,2017,20505,$60.96,60.21mpg,17125.125,Individual,First Owner,Manual,1498 CC,200Nm@ 1750rpm,5.0,Diesel
6078,Tata Hexa XE,2019,9321,$134.11,41.4mpg,17125.125,Individual,First Owner,Manual,2179 CC,320Nm@ 1500-3000rpm,7.0,Diesel
7554,Mitsubishi Pajero Sport Anniversary Edition,2015,99419,$12.57,31.75mpg,17125.125,Individual,Second Owner,Manual,2477 CC,400Nm@ 2000-2500rpm,7.0,Diesel
2541,Mahindra Scorpio Intelli Hybrid S10,2016,18641,$67.06,36.22mpg,17125.125,Individual,First Owner,Manual,2179 CC,280Nm@ 1800-2800rpm,7.0,Diesel
212,Tata Hexa XE,2019,9321,$134.11,41.4mpg,17125.125,Individual,First Owner,Manual,2179 CC,320Nm@ 1500-3000rpm,7.0,Diesel
6528,Mahindra Scorpio 1.99 S10,2017,59030,$21.18,36.22mpg,17125.125,Individual,First Owner,Manual,1997 CC,280Nm@ 1800-2800rpm,7.0,Diesel
5963,Hyundai Creta 1.6 CRDi SX,2018,28583,$43.28,46.27mpg,16947.023699999998,Individual,First Owner,Manual,1582 CC,259.9Nm@ 1900-2750rpm,5.0,Diesel
4499,Honda City i-VTEC CVT ZX,2019,3107,$394.91,42.34mpg,16810.0227,Individual,First Owner,Automatic,1497 CC,145Nm@ 4600rpm,5.0,Petrol
4202,Honda City i-VTEC CVT ZX,2019,3107,$394.91,42.34mpg,16810.0227,Individual,First Owner,Automatic,1497 CC,145Nm@ 4600rpm,5.0,Petrol
4943,Mahindra XUV500 W10 2WD,2015,24233,$50.55,37.63mpg,16782.6225,Dealer,First Owner,Manual,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
4094,Mahindra XUV500 W10 2WD,2015,24233,$50.55,37.63mpg,16782.6225,Dealer,First Owner,Manual,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
3295,Mahindra XUV300 W8 Option Dual Tone Diesel BSIV,2019,4066,$301.28,47.04mpg,16782.6225,Individual,First Owner,Manual,1497 CC,300Nm@ 1500-2500rpm,5.0,Diesel
682,Toyota Fortuner 4x2 4 Speed AT,2012,99419,$12.32,27.05mpg,16782.6225,Individual,First Owner,Automatic,2982 CC,343Nm@ 1400-3400rpm,7.0,Diesel
7951,Hyundai Creta 1.6 SX,2018,6835,$178.49,37.16mpg,16714.122,Individual,First Owner,Manual,1591 CC,151Nm@ 4850rpm,5.0,Petrol
7975,Hyundai Creta 1.6 SX,2018,6835,$178.49,37.16mpg,16714.122,Individual,First Owner,Manual,1591 CC,151Nm@ 4850rpm,5.0,Petrol
320,Hyundai Creta 1.4 CRDi S Plus,2018,15534,$77.89,50.29mpg,16577.121,Individual,First Owner,Manual,1396 CC,219.7Nm@ 1500-2750rpm,5.0,Diesel
4082,Hyundai Creta 1.6 CRDi SX Plus,2017,15534,$77.25,46.27mpg,16440.12,Individual,First Owner,Manual,1582 CC,259.9Nm@ 1900-2750rpm,5.0,Diesel
2970,Mahindra XUV500 W5 BSIV,2018,15534,$77.25,35.52mpg,16440.12,Individual,First Owner,Manual,2179 CC,360Nm@ 1750-2800rpm,7.0,Diesel
5314,Mahindra XUV500 W6 2WD,2015,6214,$193.11,35.52mpg,16440.12,Individual,First Owner,Manual,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
2876,Volvo V40 Cross Country D3,2013,45049,$26.64,54.8mpg,16440.12,Individual,Second Owner,Automatic,1984 CC,350Nm@ 1500-2750rpm,5.0,Diesel
4692,Mercedes-Benz E-Class E 250 Elegance,2010,21748,$55.18,25.71mpg,16440.12,Individual,Second Owner,Automatic,2497 CC,245Nm@ 5000rpm,5.0,Petrol
7811,Audi Q3 2.0 TDI Quattro Premium Plus,2014,142915,$8.4,37.0mpg,16440.12,Individual,First Owner,Automatic,1968 CC,380Nm@ 1750-2500rpm,5.0,Diesel
8023,Hyundai Santa Fe 4x4 AT,2011,38525,$31.15,27.57mpg,16440.12,Individual,Second Owner,Automatic,2199 CC,436.4Nm@ 1800-2500rpm,7.0,Diesel
6107,Mahindra XUV300 W8 Option Diesel BSIV,2019,9321,$128.74,47.04mpg,16440.12,Individual,First Owner,Manual,1497 CC,300Nm@ 1500-2500rpm,5.0,Diesel
5756,Maruti Ertiga ZDI Plus,2019,8699,$137.95,59.91mpg,16440.12,Individual,First Owner,Manual,1248 CC,200Nm@ 1750rpm,7.0,Diesel
2087,Tata Hexa XM,2017,18641,$64.37,41.4mpg,16440.12,Individual,First Owner,Manual,2179 CC,400Nm@ 1750-2500rpm,7.0,Diesel
80,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,86992,$13.79,30.55mpg,16440.12,Individual,First Owner,Manual,2494 CC,200Nm@ 1200-3600rpm,8.0,Diesel
5608,Toyota Fortuner 3.0 Diesel,2010,62137,$19.31,27.05mpg,16440.12,Individual,First Owner,Manual,2982 CC,343Nm@ 1400-3400rpm,7.0,Diesel
3556,Hyundai Creta 1.6 SX,2018,16777,$71.53,37.16mpg,16440.12,Individual,First Owner,Manual,1591 CC,151Nm@ 4850rpm,5.0,Petrol
7519,Nissan Kicks XV D BSIV,2019,14292,$83.96,48.1mpg,16440.12,Individual,First Owner,Manual,1461 CC,240Nm@ 1750rpm,5.0,Diesel
5431,Mahindra XUV300 W8 Option Diesel BSIV,2019,15534,$77.25,47.04mpg,16440.12,Individual,First Owner,Manual,1497 CC,300Nm@ 1500-2500rpm,5.0,Diesel
7078,Toyota Innova 2.5 VX (Diesel) 7 Seater,2015,37904,$31.66,30.55mpg,16440.12,Individual,First Owner,Manual,2494 CC,200Nm@ 1200-3600rpm,7.0,Diesel
5174,Hyundai Verna CRDi 1.6 AT SX Option,2019,12427,$96.56,51.75mpg,16440.12,Individual,First Owner,Automatic,1582 CC,259.87nm@ 1500-3000rpm,5.0,Diesel
2919,Mahindra XUV500 AT W10 FWD,2015,31068,$38.62,37.63mpg,16440.12,Individual,Second Owner,Automatic,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
5547,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,68351,$17.56,40.25mpg,16440.12,Individual,First Owner,Automatic,1968 CC,380Nm@ 1750-2500rpm,5.0,Diesel
3056,Hyundai Verna CRDi 1.6 SX Option,2019,24855,$48.28,51.75mpg,16440.12,Individual,First Owner,Manual,1582 CC,259.87nm@ 1500-3000rpm,5.0,Diesel
7938,Hyundai Verna CRDi 1.6 SX Option,2018,24855,$48.28,51.75mpg,16440.12,Individual,First Owner,Manual,1582 CC,259.87nm@ 1500-3000rpm,5.0,Diesel
7162,Tata Hexa XT,2017,93206,$12.87,41.4mpg,16440.12,Individual,First Owner,Manual,2179 CC,400Nm@ 1750-2500rpm,7.0,Diesel
4561,Honda City i-DTEC V,2019,24855,$48.28,60.21mpg,16440.12,Individual,First Owner,Manual,1498 CC,200Nm@ 1750rpm,5.0,Diesel
5200,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,55923,$21.46,30.55mpg,16440.12,Individual,First Owner,Manual,2494 CC,200Nm@ 1200-3600rpm,8.0,Diesel
4156,Hyundai Creta 1.6 SX,2018,16777,$71.53,37.16mpg,16440.12,Individual,First Owner,Manual,1591 CC,151Nm@ 4850rpm,5.0,Petrol
6739,Mahindra XUV300 W8 Option Diesel BSIV,2019,9321,$128.74,47.04mpg,16440.12,Individual,First Owner,Manual,1497 CC,300Nm@ 1500-2500rpm,5.0,Diesel
1334,Mahindra Marazzo M6,2018,31068,$38.62,40.69mpg,16440.12,Individual,First Owner,Manual,1497 CC,300Nm@ 1750-2500rpm,7.0,Diesel
1593,Mahindra Marazzo M6 8Str,2018,21748,$55.18,40.69mpg,16440.12,Individual,First Owner,Manual,1497 CC,300Nm@ 1750-2500rpm,8.0,Diesel
3461,Mercedes-Benz E-Class E 250 Elegance,2011,49710,$23.94,25.71mpg,16303.119,Individual,Second Owner,Automatic,2497 CC,245Nm@ 5000rpm,5.0,Petrol
7981,Honda City i-VTEC VX,2018,3418,$345.23,40.93mpg,16166.118,Individual,First Owner,Manual,1497 CC,145Nm@ 4600rpm,5.0,Petrol
7957,Honda City i-VTEC VX,2018,3418,$345.23,40.93mpg,16166.118,Individual,First Owner,Manual,1497 CC,145Nm@ 4600rpm,5.0,Petrol
2234,Mahindra XUV500 W10 2WD,2016,68351,$17.19,37.63mpg,16097.6175,Individual,First Owner,Manual,2179 CC,330Nm@ 1600-2800rpm,7.0,Diesel
8059,Hyundai Creta 1.6 SX Option,2018,8699,$135.07,37.16mpg,16097.6175,Dealer,First Owner,Manual,1591 CC,151Nm@ 4850rpm,5.0,Petrol
829,Mahindra XUV500 W10 1.99 mHawk,2016,31068,$37.5,37.63mpg,15960.6165,Individual,First Owner,Manual,1997 CC,320Nm@ 1600-2800rpm,7.0,Diesel
7336,Isuzu MU 7 AT Premium,2016,75186,$15.43,28.41mpg,15892.116,Dealer,First Owner,Automatic,2999 CC,333Nm@ 1600-3200rpm,7.0,Diesel
3203,Toyota Innova 2.5 GX (Diesel) 8 Seater,2016,43185,$26.65,30.55mpg,15768.8151,Individual,Second Owner,Manual,2494 CC,200Nm@ 1200-3600rpm,8.0,Diesel
5130,Hyundai Creta 1.6 CRDi SX Plus,2017,16777,$68.55,46.27mpg,15755.115,Individual,Second Owner,Manual,1582 CC,259.9Nm@ 1900-2750rpm,5.0,Diesel
3906,Hyundai Verna CRDi 1.6 AT SX Option,2018,30447,$37.77,51.75mpg,15755.115,Individual,First Owner,Automatic,1582 CC,259.87nm@ 1500-3000rpm,5.0,Diesel
5822,Toyota Innova 2.5 VX (Diesel) 7 Seater,2015,24855,$46.27,30.55mpg,15755.115,Individual,First Owner,Manual,2494 CC,200Nm@ 1200-3600rpm,7.0,Diesel
265,Toyota Fortuner 3.0 Diesel,2011,112468,$10.23,27.05mpg,15755.115,Individual,Second Owner,Manual,2982 CC,343Nm@ 1400-3400rpm,7.0,Diesel
5453,Hyundai Creta 1.6 CRDi SX,2016,95691,$12.02,46.27mpg,15755.115,Individual,First Owner,Manual,1582 CC,259.9Nm@ 1900-2750rpm,5.0,Diesel
1074,Hyundai Creta 1.6 CRDi SX,2017,39338,$29.23,46.27mpg,15755.115,Dealer,First Owner,Manual,1582 CC,259.9Nm@ 1900-2750rpm,5.0,Diesel
5571,Hyundai Verna CRDi 1.6 SX Option,2018,21748,$52.88,51.75mpg,15755.115,Individual,First Owner,Manual,1582 CC,259.87nm@ 1500-3000rpm,5.0,Diesel
5156,Mahindra XUV500 W7 BSIV,2018,18020,$63.82,35.52mpg,15755.115,Individual,First Owner,Manual,2179 CC,360Nm@ 1750-2800rpm,7.0,Diesel
7751,Hyundai Venue SX Plus Dual Tone Turbo DCT,2019,1420,$809.86,42.69mpg,15755.115,Trustmark Dealer,First Owner,Automatic,998 CC,171.6Nm@ 1500-4000rpm,5.0,Petrol
3217,Hyundai Creta 1.6 CRDi AT SX Plus,2018,27340,$42.06,40.01mpg,15755.115,Individual,First Owner,Automatic,1582 CC,259.9Nm@ 1900-2750rpm,5.0,Diesel
