,model,selling_price,mileage
1193,2011 Mahindra Bolero DI,370000,13.6 kmpl
1194,2013 Maruti Alto K10 LXI,250000,20.92 kmpl
1195,2007 Maruti Alto LXi,95000,19.7 kmpl
1196,2010 Maruti Wagon R LXI Minor,180000,18.9 kmpl
1197,2016 Mahindra NuvoSport N8 AMT,650000,17.45 kmpl
1198,2018 Hyundai Xcent 1.2 CRDi E,530000,25.4 kmpl
1199,2017 Maruti Swift VVT ZXI,610000,22.0 kmpl
1200,2011 Maruti Zen Estilo VXI BSIV W ABS,200000,
1201,2010 Mahindra Xylo E4 8S,265000,14.0 kmpl
1202,2018 Tata Tiago 1.2 Revotron XZ WO Alloy,560000,23.84 kmpl
1203,2014 Mahindra Bolero 2011-2019 SLE,430000,15.96 kmpl
1204,2017 Maruti Swift Dzire VDI,711000,28.4 kmpl
1205,2015 Maruti Swift Dzire VXI,511000,20.85 kmpl
1206,2012 Mahindra Bolero 2011-2019 ZLX,450000,15.96 kmpl
1207,2015 Tata Zest Revotron 1.2 XT,325000,17.57 kmpl
1208,2013 Renault Scala Diesel RxZ,434999,21.64 kmpl
1209,2010 Ford Figo Diesel LXI,210000,20.0 kmpl
1210,2009 Maruti Omni BSIII 8-STR W/ IMMOBILISER,140000,
1211,2007 Maruti SX4 Vxi BSIII,160000,15.0 kmpl
1212,2017 Maruti Ertiga VXI Limited Edition,650000,17.5 kmpl
1213,2008 Maruti Swift VDI BSIV,250000,
1214,2014 Hyundai i20 Sportz 1.2,320000,18.6 kmpl
1215,2017 Renault KWID Climber 1.0 MT,290000,23.01 kmpl
1216,1996 Mahindra Jeep Classic,163000,
1217,2013 Tata Nano CX,80000,25.4 kmpl
1218,2017 Tata Safari Storme EX,1100000,14.1 kmpl
1219,2015 Maruti Ciaz ZDi Plus,600000,26.21 kmpl
1220,2017 Renault KWID RXT,340000,25.17 kmpl
1221,2014 Toyota Innova 2.5 G (Diesel) 7 Seater,750000,12.99 kmpl
1222,2006 Maruti Alto LX,100000,19.7 kmpl
1223,2019 Renault KWID RXT Optional,395000,25.17 kmpl
1224,2010 Maruti Wagon R VXI Minor,200000,18.9 kmpl
1225,2019 Maruti Eeco CNG 5 Seater AC BSIV,450000,21.94 km/kg
1226,2012 Mahindra Verito 1.4 G4 BSIV,180000,13.87 kmpl
1227,2008 Mahindra Bolero DI,190000,13.6 kmpl
1228,2015 Maruti Eeco 5 Seater AC BSIV,310000,15.37 kmpl
1229,2014 Maruti Ritz VDi,351000,23.2 kmpl
1230,2006 Chevrolet Optra 1.6 LT Royale,190000,17.4 kmpl
1231,2015 Hyundai EON Magna Plus,225000,21.1 kmpl
1232,2012 Chevrolet Spark 1.0 LT,130000,16.2 kmpl
1233,2018 Maruti Ciaz Alpha Diesel,1000000,28.09 kmpl
1234,2004 Tata Indica V2 DLS TC,55000,16.8 kmpl
1235,2014 Chevrolet Sail 1.2 LT ABS,330000,18.2 kmpl
1236,2013 Maruti Omni MPI STD BSIV,166000,16.8 kmpl
1237,2013 Mahindra Xylo D4 BSIII,200000,14.0 kmpl
1238,2011 Maruti Alto K10 2010-2014 VXI,140000,20.92 kmpl
1239,2017 Maruti Eeco CNG 5 Seater AC BSIV,370000,21.94 km/kg
1240,2019 Hyundai Elite i20 Sportz Plus CVT BSIV,720000,17.4 kmpl
1241,2015 Hyundai i20 Active 1.4,500000,21.19 kmpl
1242,2019 Hyundai Xcent 1.2 VTVT SX,570000,20.14 kmpl
1243,2010 Maruti Swift Dzire 1.2 Vxi BSIV,210000,17.5 kmpl
1244,2009 Maruti Alto LXi,120000,19.7 kmpl
1245,2005 Hyundai Getz GLX,95000,15.3 kmpl
1246,2010 Hyundai i10 Sportz AT,196000,16.95 kmpl
1247,2016 Maruti Eeco 5 Seater AC BSIV,392000,15.37 kmpl
1248,2010 Tata Manza Aura Plus Safire,150000,15.0 kmpl
1249,2017 Honda BR-V i-VTEC E MT,595000,15.4 kmpl
1250,2018 Maruti Vitara Brezza ZDi Plus AMT Dual Tone,833000,24.3 kmpl
1251,2011 Maruti Swift VDI,280000,22.9 kmpl
1252,2003 Maruti 800 Std BSII,35000,16.1 kmpl
1253,2009 Maruti Ritz VDi,180000,21.1 kmpl
1254,2012 Maruti Wagon R VXi BSII,225000,18.9 kmpl
1255,2012 Mercedes-Benz New C-Class 220 CDI AT,1400000,14.84 kmpl
1256,2009 Hyundai i20 Era Diesel,340000,23.0 kmpl
1257,2010 Toyota Innova 2.5 GX 8 STR,550000,12.8 kmpl
1258,2017 Maruti Wagon R VXI BS IV,400000,20.51 kmpl
1259,2006 Hyundai Getz GLE,90000,15.3 kmpl
1260,2015 Maruti Ciaz VDi Plus SHVS,650000,28.09 kmpl
1261,2012 Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,730000,12.99 kmpl
1262,2010 Chevrolet Aveo U-VA 1.2 LS,125000,15.26 kmpl
1263,2006 Hyundai Getz GLE,81000,15.3 kmpl
1264,2007 Maruti Swift Glam,170000,16.1 kmpl
1265,2002 Honda City 1.5 EXI,81000,13.0 kmpl
1266,2005 Maruti Alto LX,95000,19.7 kmpl
1267,2010 Tata Nano Cx BSIV,55000,26.0 kmpl
1268,2017 Renault Lodgy World Edition 110PS,880000,19.98 kmpl
1269,2015 Renault KWID RXL,200000,25.17 kmpl
1270,2019 Maruti Wagon R VXI 1.2,480000,20.52 kmpl
1271,2013 Mahindra Bolero 2011-2019 Plus AC,480000,15.96 kmpl
1272,2018 Hyundai i20 1.2 Asta,700000,18.6 kmpl
1273,2016 Honda BRV i-DTEC V MT,850000,21.9 kmpl
1274,2012 Tata Indigo CR4,300000,23.57 kmpl
1275,2017 Hyundai i20 1.2 Asta Option,650000,18.6 kmpl
1276,2010 Maruti Ritz VXI,220000,21.1 kmpl
1277,2014 Tata Indigo CS LS (TDI) BS-III,300000,19.09 kmpl
1278,2014 Maruti Swift Dzire VDI,450000,23.4 kmpl
1279,2014 Maruti Swift VDI BSIV,400000,25.2 kmpl
1280,2018 Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,1030000,25.1 kmpl
1281,2010 Tata Manza Aura Quadrajet,190000,18.8 kmpl
1282,2006 Ford Fiesta 1.4 Duratec EXI,140000,16.6 kmpl
1283,2018 Hyundai i20 Active S Diesel,800000,21.19 kmpl
1284,2007 Mahindra Scorpio LX 2.6 Turbo,229999,10.5 kmpl
1285,2011 Tata Safari DICOR 2.2 EX 4x2,300000,13.93 kmpl
1286,2011 Volkswagen Vento Diesel Highline,375000,20.54 kmpl
1287,2010 Chevrolet Beat LT,140000,18.6 kmpl
1288,2004 Maruti Alto LX,60000,19.7 kmpl
1289,2014 Hyundai Xcent 1.1 CRDi S Option,420000,24.4 kmpl
1290,2012 Renault Pulse RxZ,300000,23.08 kmpl
1291,2012 Tata Indica Vista Quadrajet VX,150000,22.3 kmpl
1292,2015 Ford EcoSport 1.5 TDCi Titanium Plus BSIV,600000,22.77 kmpl
1293,2011 Ford Figo Diesel Titanium,204999,20.0 kmpl
1294,2017 Hyundai Xcent 1.2 CRDi SX,625000,25.4 kmpl
1295,2011 Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),280000,20.5 kmpl
1296,2014 Hyundai Santa Fe 2WD AT,1050000,13.01 kmpl
1297,2009 Chevrolet Optra Magnum 1.6 LT Petrol,250000,12.9 kmpl
1298,2010 Tata New Safari DICOR 2.2 EX 4x2,535000,11.57 kmpl
1299,2009 Honda Accord 2.4 AT,400000,11.7 kmpl
1300,2019 Maruti Swift AMT VXI,610000,21.21 kmpl
1301,2014 Maruti Swift Dzire VDI,509999,23.4 kmpl
1302,2014 Tata Safari Storme VX,521000,14.0 kmpl
1303,2014 Maruti Swift Dzire VDI,511000,23.4 kmpl
1304,2014 Hyundai i20 Sportz 1.4 CRDi,451000,22.54 kmpl
1305,2009 Hyundai i10 Sportz,170000,20.36 kmpl
1306,2013 Maruti Swift Dzire VDI,450000,23.4 kmpl
1307,2011 Honda City 1.5 V Elegance,375000,17.0 kmpl
1308,2016 Maruti Alto 800 LXI,305000,22.74 kmpl
1309,2016 Renault KWID RXT,315000,25.17 kmpl
1310,2016 Chevrolet Sail 1.3 LS,250000,22.1 kmpl
1311,2012 Ford Figo Diesel EXI,200000,20.0 kmpl
1312,2018 Ford EcoSport 1.5 Diesel Titanium Plus BSIV,950000,23.0 kmpl
1313,2012 Renault Duster 110PS Diesel RxL,400000,19.01 kmpl
1314,2014 Maruti Swift ZDi,509999,22.9 kmpl
1315,2008 Honda Civic 1.8 V MT,375000,13.5 kmpl
1316,2005 Maruti Wagon R LXI,150000,18.9 kmpl
1317,2006 Maruti Wagon R AX,75000,18.9 kmpl
1318,2015 Hyundai Verna 1.4 VTVT,465000,17.43 kmpl
1319,2019 Hyundai Grand i10 1.2 CRDi Asta,700000,24.0 kmpl
1320,2015 Mahindra Scorpio 1.99 S10,950000,15.4 kmpl
1321,2017 Hyundai i20 1.2 Asta,610000,18.6 kmpl
1322,2004 Hyundai Santro GS zipDrive - Euro II,60000,
1323,2014 Maruti Alto 800 LXI,235000,22.74 kmpl
1324,2017 Maruti Eeco 5 Seater AC BSIV,330000,15.37 kmpl
1325,2014 Nissan Terrano XE 85 PS,472000,20.45 kmpl
1326,2019 Maruti Swift VXI,585000,21.21 kmpl
1327,2018 Mahindra Supro LX 8 Str,500000,23.5 kmpl
1328,2019 Maruti Alto K10 VXI,360000,23.95 kmpl
1329,2016 Maruti Swift Dzire VDI,649000,26.59 kmpl
1330,2017 Maruti Omni MPI CARGO BSIV,200000,16.8 kmpl
1331,2008 Maruti Swift 1.3 VXi,240000,
1332,2014 Hyundai Grand i10 CRDi Magna,400000,24.0 kmpl
1333,2015 Maruti Celerio VDi,250000,27.62 kmpl
1334,2018 Mahindra Marazzo M6,1200000,17.3 kmpl
1335,2009 Maruti Swift Vdi BSIII,250000,17.8 kmpl
1336,2013 Toyota Innova 2.5 GX (Diesel) 8 Seater,819999,12.99 kmpl
1337,2014 Mahindra XUV500 W8 2WD,800000,15.1 kmpl
1338,2013 Ford Ecosport 1.0 Ecoboost Titanium Optional,429000,18.88 kmpl
1339,2010 Hyundai Santro Xing GLS,150000,17.92 kmpl
1340,2010 Maruti Swift VDI BSIV,315000,
1341,2012 Chevrolet Beat Diesel LT,170000,25.44 kmpl
1342,2014 Honda Brio Exclusive Edition,335000,19.4 kmpl
1343,2015 Hyundai Grand i10 AT Asta,465000,18.9 kmpl
1344,2013 Renault Duster 110PS Diesel RxL,360000,19.01 kmpl
1345,2018 Hyundai Xcent 1.2 CRDi SX,570000,25.4 kmpl
1346,2012 Renault Duster 110PS Diesel RxZ,350000,19.01 kmpl
1347,2017 Mahindra Ingenio CRDe,600000,
1348,2017 Maruti Ertiga BSIV VXI,700000,17.5 kmpl
1349,2012 Renault Duster 110PS Diesel RxZ,375000,19.01 kmpl
1350,2019 Maruti Eeco CNG 5 Seater AC BSIV,450000,21.94 km/kg
1351,2013 Hyundai i20 Magna 1.4 CRDi (Diesel),325000,21.9 kmpl
1352,2011 Volkswagen Vento Diesel Comfortline,260000,20.54 kmpl
1353,2009 Maruti Alto LXi BSIII,130000,19.7 kmpl
1354,2008 Tata New Safari DICOR 2.2 EX 4x2,150000,11.57 kmpl
1355,2014 Hyundai Santro Xing GLS,220000,17.92 kmpl
1356,2014 Hyundai i10 Magna 1.2 iTech SE,275000,20.36 kmpl
1357,2017 Maruti Swift LDI Optional,455000,25.2 kmpl
1358,2017 Hyundai i20 1.2 Magna Executive,570000,18.6 kmpl
1359,2013 Volkswagen Vento Diesel Highline,330000,20.54 kmpl
1360,2018 Toyota Innova Crysta 2.4 VX MT BSIV,1576000,13.68 kmpl
1361,2012 Maruti Ertiga ZDI,450000,20.77 kmpl
1362,2014 Hyundai EON Magna Plus,250000,21.1 kmpl
1363,2010 Hyundai i10 Sportz,165000,20.36 kmpl
1364,2013 Mahindra Ssangyong Rexton RX7,800000,11.18 kmpl
1365,2018 Honda Jazz 1.2 V i VTEC,680000,18.7 kmpl
1366,2017 Tata Tigor 1.2 Revotron XZA,525000,20.3 kmpl
1367,2016 Honda City 1.5 V MT Sunroof,825000,16.8 kmpl
1368,2017 Maruti S-Cross 2017-2020 Sigma DDiS 200 SH,750000,25.1 kmpl
1369,2017 Mahindra Scorpio S4 Plus,950000,15.4 kmpl
1370,2017 Mahindra Scorpio S4 Plus 4WD,950000,15.4 kmpl
1371,2017 Hyundai i20 1.4 CRDi Magna,675000,21.9 kmpl
1372,2019 Tata Tiago XT,490000,23.84 kmpl
1373,2018 Mahindra TUV 300 T4 Plus,775000,18.49 kmpl
1374,2009 Honda City 1.5 V MT,350000,17.0 kmpl
1375,2016 Honda Brio S MT,475000,19.4 kmpl
1376,2017 Mahindra Scorpio S4 7 Seater,950000,15.4 kmpl
1377,2010 Honda City i-VTEC S,350000,17.4 kmpl
1378,2016 Maruti Wagon R VXI,400000,21.79 kmpl
1379,2001 Maruti 800 DX 5 Speed,75000,16.1 kmpl
1380,2017 Ford Ecosport 1.5 DV5 MT Titanium,850000,22.7 kmpl
1381,2008 Maruti Wagon R VXI,175000,18.9 kmpl
1382,2014 Mahindra Bolero 2011-2019 SLE,570000,15.96 kmpl
1383,2013 Renault Duster 110PS Diesel RxZ,525000,19.01 kmpl
1384,2012 Hyundai i10 Magna 1.2 iTech SE,270000,20.36 kmpl
1385,2019 Hyundai Santro Magna,434999,20.3 kmpl
1386,2015 Hyundai i20 Asta Option 1.2,495000,18.6 kmpl
1387,2016 Hyundai i20 Asta Option 1.4 CRDi,575000,22.54 kmpl
1388,2017 Hyundai Xcent 1.2 VTVT S,600000,20.14 kmpl
1389,2015 Hyundai Verna 1.6 VTVT S Option,700000,17.01 kmpl
1390,2014 Honda City i DTec V,560000,26.0 kmpl
1391,2016 Maruti Swift VDI BSIV W ABS,565000,
1392,2005 Mahindra Bolero DI AC BSIII,250000,13.6 kmpl
1393,2013 Skoda Rapid 1.6 MPI Ambition Plus,409999,15.0 kmpl
1394,2016 Nissan Terrano XL D Option,495000,19.87 kmpl
1395,2014 Hyundai Elite i20 Petrol Asta,470000,18.6 kmpl
1396,2013 Honda Amaze S Diesel,350000,24.7 kmpl
1397,2020 Toyota Innova Crysta 2.4 G MT 8 STR,1560000,13.68 kmpl
1398,2015 Honda Jazz 1.2 S i VTEC,480000,18.7 kmpl
1399,2013 Toyota Etios Liva 1.4 GD,270000,23.59 kmpl
1400,2018 Mahindra Bolero B2,660000,21.0 kmpl
1401,2017 Maruti Ignis 1.2 AMT Alpha BSIV,490000,20.89 kmpl
1402,2017 Maruti Vitara Brezza ZDi Plus,800000,24.3 kmpl
1403,2011 Nissan Sunny XV,350000,16.95 kmpl
1404,2011 Ford Fiesta EXi 1.4 TDCi Ltd,170000,17.8 kmpl
1405,2011 Tata Indica Vista Aqua 1.3 Quadrajet,125000,18.0 kmpl
1406,2012 Maruti Swift Dzire VDi,400000,19.3 kmpl
1407,2011 Nissan Sunny XV,250000,16.95 kmpl
1408,2010 Fiat Linea Emotion (Diesel),190000,20.4 kmpl
1409,2010 Maruti Alto LX,125000,19.7 kmpl
1410,2017 Jeep Compass 2.0 Limited 4X4,1950000,16.3 kmpl
1411,2011 Audi Q5 2.0 TDI,1300000,12.8 kmpl
1412,2010 Toyota Innova 2.5 G4 Diesel 8-seater,786000,12.8 kmpl
1413,2015 Maruti Wagon R VXI BS IV,335000,20.51 kmpl
1414,2009 Maruti Wagon R LXI Minor,114999,18.9 kmpl
1415,2012 Volkswagen Polo Diesel Comfortline 1.2L,229999,22.07 kmpl
1416,2017 Hyundai i20 2015-2017 Asta 1.4 CRDi,731000,22.54 kmpl
1417,2012 Hyundai Verna 1.6 SX,395000,22.32 kmpl
1418,2015 Maruti Swift Dzire VDI,500000,26.59 kmpl
1419,2014 Hyundai EON Era Plus,220000,21.1 kmpl
1420,2013 Ford Figo Diesel Celebration Edition,240000,20.0 kmpl
1421,2010 Hyundai i20 1.4 CRDi Asta,215000,23.0 kmpl
1422,2012 Maruti Swift VDI,400000,22.9 kmpl
1423,2012 Maruti Zen Estilo VXI BSIV,191000,19.0 kmpl
1424,2013 Mahindra Xylo D4 BSIII,351000,14.0 kmpl
1425,2015 Tata Nano XTA,250000,21.9 kmpl
1426,2009 Hyundai Verna CRDi SX ABS,210000,18.1 kmpl
1427,2011 Toyota Etios VX,300000,17.6 kmpl
1428,2017 Ford Figo Aspire 1.5 TDCi Trend,700000,25.83 kmpl
1429,2010 Hyundai Sonata CRDi M/T,500000,11.8 kmpl
1430,2002 Maruti 800 AC BSIII,120000,16.1 kmpl
1431,2019 Hyundai Elite i20 Asta Option Diesel,850000,22.54 kmpl
1432,1994 Mahindra Jeep CL 500 MDI,120000,
1433,2017 Honda WR-V i-DTEC VX,770000,25.5 kmpl
1434,2007 Honda Civic 1.8 S MT,245000,13.5 kmpl
1435,2012 Maruti Alto K10 2010-2014 VXI,250000,20.92 kmpl
1436,2016 Hyundai i20 Active SX Diesel,651000,21.19 kmpl
1437,2013 Honda City V MT,480000,16.8 kmpl
1438,2015 Maruti Swift VDI BSIV,470000,25.2 kmpl
1439,2016 Honda Jazz 1.5 V i DTEC,500000,27.3 kmpl
1440,2011 BMW X1 sDrive20d M Sport,1075000,19.62 kmpl
1441,2016 Maruti S-Cross 2017-2020 Delta DDiS 200 SH,690000,25.1 kmpl
1442,2017 Maruti Swift Dzire VDI Optional,589000,
1443,2017 Maruti Swift Dzire VDI Optional,589000,
1444,2018 Maruti Ignis 1.2 Delta BSIV,480000,20.89 kmpl
1445,2013 Maruti Swift ZDI Plus,450000,28.4 kmpl
1446,2018 Maruti Vitara Brezza VDi Option,770000,24.3 kmpl
1447,2015 Mahindra Bolero B4,445000,21.0 kmpl
1448,2018 Hyundai i20 1.2 Asta Option,700000,18.6 kmpl
1449,2014 Maruti Ertiga ZDI,560000,20.77 kmpl
1450,2013 Ford Ecosport Sports Diesel,475000,21.7 kmpl
1451,2014 Honda Amaze E Diesel BSIV,465000,27.4 kmpl
1452,2017 Maruti Swift Dzire Tour LDI,520000,23.4 kmpl
1453,2011 Tata Manza Aura Safire,225000,15.0 kmpl
1454,2015 Maruti Ertiga ZXI,700000,16.02 kmpl
1455,2017 Maruti Vitara Brezza VDi,780000,24.3 kmpl
1456,2006 Honda City 2017-2020 GXi,93150,17.7 kmpl
1457,2016 Mahindra Quanto C4,403000,17.21 kmpl
1458,2009 Hyundai i10 Era,229999,19.81 kmpl
1459,2016 Maruti Swift Dzire VDI,525000,26.59 kmpl
1460,2014 Maruti Ertiga VXI,560000,16.02 kmpl
1461,2020 Mahindra XUV500 W7,830000,15.1 kmpl
1462,2011 Maruti Ritz VDi,250000,21.1 kmpl
1463,2014 Mahindra Bolero 2011-2019 DI - AC BS III,450000,15.96 kmpl
1464,2016 Mahindra Scorpio 1.99 S4,745000,15.4 kmpl
1465,2010 Ford Figo Diesel Titanium,144000,20.0 kmpl
1466,2008 Maruti Zen Estilo 1.1 VXI BSIII,120000,18.2 kmpl
1467,2008 Tata New Safari DICOR 2.2 EX 4x2,300000,11.57 kmpl
1468,1999 Maruti 800 DX,52000,16.1 kmpl
1469,2003 Mahindra Scorpio 2.6 CRDe,300000,10.5 kmpl
1470,2009 Mahindra Bolero DI DX 7 Seater,270000,13.6 kmpl
1471,2014 Chevrolet Sail LT ABS,260000,22.1 kmpl
1472,2015 Toyota Etios GD,475000,23.59 kmpl
1473,2011 Ford Figo Diesel Titanium,302000,20.0 kmpl
1474,1994 Maruti 800 AC,45000,16.1 kmpl
1475,2017 Maruti Vitara Brezza VDi Option,775000,24.3 kmpl
1476,2015 Maruti Ertiga VDI,700000,20.77 kmpl
1477,2014 Maruti Swift VDI BSIV,530000,25.2 kmpl
1478,2017 Tata Nexon 1.5 Revotorq XZ Plus,869999,21.5 kmpl
1479,2006 Hyundai Elantra CRDi,155000,14.9 kmpl
1480,2019 Tata Tiago 1.2 Revotron XZA,550000,23.84 kmpl
1481,2016 Maruti Swift Dzire VDI,600000,26.59 kmpl
1482,2012 Maruti Swift Dzire VDi,430000,19.3 kmpl
1483,2010 Tata Manza Aura (ABS) Quadrajet,246000,18.8 kmpl
1484,2003 Maruti Zen VXi - BS III,120000,17.3 kmpl
1485,2014 Hyundai i20 Asta 1.2,565000,18.6 kmpl
1486,2018 Hyundai Elite i20 Asta Option Diesel,850000,22.54 kmpl
1487,2006 Maruti Alto LXi BSIII,160000,19.7 kmpl
1488,2014 Fiat Linea Classic Plus 1.3 Multijet,325000,19.5 kmpl
1489,2011 Mahindra Scorpio VLX 2WD AIRBAG BSIV,450000,12.05 kmpl
1490,2015 Hyundai i10 Sportz 1.1L,310000,19.81 kmpl
1491,2013 Honda Amaze S i-Dtech,250000,25.8 kmpl
1492,2015 Maruti Swift Dzire LDI,420000,26.59 kmpl
1493,2013 Hyundai i20 Sportz AT 1.4,330000,15.0 kmpl
1494,2015 Maruti Swift VXI Optional,405000,20.4 kmpl
1495,2013 Mahindra Bolero 2011-2019 ZLX,400000,15.96 kmpl
1496,2010 Honda City V AT,409999,15.6 kmpl
1497,2013 Mahindra Bolero 2011-2019 SLX 2WD BSIII,500000,15.96 kmpl
1498,2011 Mahindra XUV500 W8 4WD,590000,15.1 kmpl
1499,2006 Hyundai Santro Xing XS eRLX Euro III,80000,
1500,2007 Hyundai i10 Era,135000,19.81 kmpl
1501,2004 Maruti Wagon R LXI,70000,18.9 kmpl
1502,2004 Maruti 800 Std BSII,45000,16.1 kmpl
1503,2018 Maruti Swift Dzire VDI,650000,28.4 kmpl
1504,2018 Maruti Wagon R VXI Optional,400000,20.51 kmpl
1505,2017 Maruti Alto K10 VXI,350000,23.95 kmpl
1506,2017 Hyundai Grand i10 1.2 CRDi Asta,550000,24.0 kmpl
1507,2016 Maruti Wagon R LXI Optional,350000,20.51 kmpl
1508,2015 Maruti Swift Dzire LDI Optional,459999,26.59 kmpl
1509,2012 Maruti Alto LXi,185000,19.7 kmpl
1510,2013 Volkswagen Polo Diesel Highline 1.2L,550000,22.07 kmpl
1511,2012 Maruti Wagon R Duo Lxi,300000,26.2 km/kg
1512,2012 Maruti Omni E 8 Str STD,175000,
1513,2011 Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,900000,12.8 kmpl
1514,2016 Honda BR-V i-DTEC S MT,900000,21.9 kmpl
1515,2012 Mahindra Bolero 2011-2019 Plus AC,550000,15.96 kmpl
1516,2018 Maruti Baleno Zeta 1.2,625000,21.4 kmpl
1517,2017 Maruti Alto 800 VXI,310000,24.7 kmpl
1518,2017 Maruti Swift DDiS LDI,500000,28.4 kmpl
1519,2016 Hyundai Grand i10 CRDi Sportz,610000,24.0 kmpl
1520,2012 Tata Indigo CS LX (TDI) BS III,150000,19.09 kmpl
1521,2015 Hyundai Xcent 1.1 CRDi SX Option,480000,24.4 kmpl
1522,2017 Hyundai i20 1.2 Asta Option,650000,18.6 kmpl
1523,2012 Hyundai i20 1.4 CRDi Magna,290000,21.9 kmpl
1524,2017 Maruti Alto 800 LXI,300000,24.7 kmpl
1525,2010 Maruti Swift Dzire VDi,270000,19.3 kmpl
1526,2015 Hyundai Xcent 1.1 CRDi S,400000,24.4 kmpl
1527,2015 Maruti Alto 800 LX,280000,22.74 kmpl
1528,2009 Maruti Swift Dzire VXi,250000,17.5 kmpl
1529,2012 Maruti Swift Dzire VDi,495000,19.3 kmpl
1530,2018 Ford Endeavour 3.2 Titanium AT 4X4,3250000,10.91 kmpl
1531,2019 Honda Amaze V Petrol BSIV,700000,19.5 kmpl
1532,2013 Tata Indigo eCS VX BSIV,310000,25.0 kmpl
1533,2017 Renault Duster 85PS Diesel RxE,650000,19.87 kmpl
1534,2015 Honda Jazz 1.2 V AT i VTEC,600000,19.0 kmpl
1535,2009 Tata New Safari DICOR 2.2 EX 4x2,150000,11.57 kmpl
1536,2009 Mahindra Renault Logan 1.4 GLX Petrol,135000,15.7 kmpl
1537,2014 Maruti Swift Dzire VDI,650000,23.4 kmpl
1538,2012 Honda City V MT,550000,16.8 kmpl
1539,2017 Maruti Swift Dzire VDI,650000,28.4 kmpl
1540,2018 Toyota Fortuner 2.8 2WD AT BSIV,2900000,12.9 kmpl
1541,2017 Honda Brio 1.2 VX MT,450000,18.5 kmpl
1542,2015 Maruti Ciaz VXi Plus,650000,20.73 kmpl
1543,2017 Hyundai Grand i10 1.2 Kappa Era,430000,17.0 kmpl
1544,2017 Hyundai Creta 1.6 CRDi AT S Plus,1143000,17.01 kmpl
1545,2019 Maruti Swift AMT ZXI Plus BSIV,700000,22.0 kmpl
1546,2011 Maruti Ritz VXi,229999,18.5 kmpl
1547,2017 Mahindra TUV 300 T4,509999,18.49 kmpl
1548,2016 Ford EcoSport 1.5 Ti VCT MT Trend BSIV,670000,15.85 kmpl
1549,2019 Tata Tiago 1.2 Revotron XZA,525000,23.84 kmpl
1550,2016 Renault Duster 85PS Diesel RxE,515000,19.87 kmpl
1551,2020 Maruti Baleno Delta,630000,21.01 kmpl
1552,2019 Datsun RediGO A,270000,22.7 kmpl
1553,2016 Maruti Alto 800 LXI,300000,22.74 kmpl
1554,2012 Mahindra Xylo D2 BSIV,250000,14.0 kmpl
1555,2005 Maruti Alto LX,90000,19.7 kmpl
1556,2017 Maruti Ertiga SHVS ZDI Plus,750000,24.52 kmpl
1557,2009 Maruti Wagon R LXI Minor,135000,18.9 kmpl
1558,2013 Maruti Eeco Smiles 5 Seater AC,275000,15.1 kmpl
1559,2018 Tata Nexon 1.2 Revotron XM,740000,17.0 kmpl
1560,2019 Honda Amaze S i-VTEC,690000,17.8 kmpl
1561,2018 Audi Q5 35TDI Premium Plus,3975000,17.01 kmpl
1562,2019 Lexus ES 300h,5150000,22.37 kmpl
1563,2017 Jaguar XF 2.0 Diesel Portfolio,3200000,19.33 kmpl
1564,2017 Jeep Wrangler 2016-2019 3.6 4X4,4100000,9.5 kmpl
1565,2018 Toyota Yaris V BSIV,1000000,17.1 kmpl
1566,2018 Toyota Yaris V BSIV,1000000,17.1 kmpl
1567,2019 Hyundai Grand i10 Nios Sportz,550000,20.7 kmpl
1568,2016 Maruti Baleno Alpha,600000,21.01 kmpl
1569,2016 Skoda Rapid 1.6 MPI AT Style Plus,675000,14.3 kmpl
1570,2019 Nissan Kicks XV BSIV,950000,14.23 kmpl
1571,2017 Honda City i VTEC V,850000,17.8 kmpl
1572,2016 Toyota Camry 2.5 Hybrid,2000000,19.16 kmpl
1573,2012 Toyota Corolla Altis 1.8 VL AT,550000,14.53 kmpl
1574,2018 Maruti Ciaz 1.3 Alpha,925000,28.09 kmpl
1575,2015 Ford Ecosport 1.5 Ti VCT AT Titanium,625000,16.5 kmpl
1576,2014 Maruti Alto 800 LXI,200000,22.74 kmpl
1577,2014 Honda City i VTEC CVT VX,635000,18.0 kmpl
1578,2016 Honda Jazz VX,550000,18.2 kmpl
1579,2014 Maruti SX4 VDI,425000,21.79 kmpl
1580,2011 Maruti Wagon R VXI BS IV,220000,18.9 kmpl
1581,2018 Hyundai Grand i10 1.2 Kappa Asta,590000,18.9 kmpl
1582,2017 Mahindra Thar CRDe,775000,16.55 kmpl
1583,2015 Maruti Ritz VXi,350000,18.5 kmpl
1584,2018 Maruti Baleno Delta 1.2,575000,21.4 kmpl
1585,2011 Nissan Micra XL,200000,18.06 kmpl
1586,2018 Tata Hexa XT,1575000,17.6 kmpl
1587,2015 Ford EcoSport 1.5 TDCi Titanium BSIV,600000,22.77 kmpl
1588,2016 Mahindra Bolero 2011-2019 ZLX BSIII,720000,15.96 kmpl
1589,2012 Tata Indigo eCS LS TDI BSIII,158000,19.09 kmpl
1590,2018 Tata Hexa XT,1575000,17.6 kmpl
1591,2017 Hyundai Xcent 1.2 VTVT S AT,580000,17.36 kmpl
